Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Normalised Votes
Chennai Express,2013,141,"Action, Adventure, Comedy",6.0,50307,Rohit Shetty,Deepika Padukone,Shah Rukh Khan,Sathyaraj,88.56866197183099
Chetna,1970,135,Drama,6.2,27,B.R. Ishara,Anil Dhawan,Shatrughan Sinha,Rehana Sultan,0.5192307692307693
Chetna: The Excitement,2005,102,Thriller,3.1,45,Partho Ghosh,Jatin Grewal,Kiran Kumar,Navnit Ravi Rana,0.09336099585062241
Chettaniki Kallu Levu,1981,141,"Action, Drama, Crime",7.6,81,S.A. Chandrashekhar,Chiranjeevi,Madhavi,Lakshmi,1.4464285714285714
Chhailla Babu,1977,146,"Action, Crime, Romance",6.8,74,Joy Mukherjee,Rajesh Khanna,Zeenat Aman,Asrani,1.1935483870967742
Chhalaang,2020,136,"Comedy, Drama",6.8,15830,Hansal Mehta,Rajkummar Rao,Nushrat Bharucha,Mohd. Zeeshan Ayyub,25.287539936102238
Chhalia,1960,112,"Musical, Romance",7.4,201,Manmohan Desai,Raj Kapoor,Nutan,Pran,3.0225563909774436
Chhapaak,2020,120,"Biography, Drama",5.1,25070,Meghna Gulzar,Deepika Padukone,Vikrant Massey,Madhurjeet Sarghi,40.04792332268371
Chhappad Phaad Ke,2019,90,Drama,6.3,954,Sameer Joshi,Siddharth Menon,Vinay Pathak,Ayesha Raza,3.0974025974025974
Chhatrapati Shivaji,1952,170,"Drama, History",8.3,39,Bhalji Pendharkar,Parshwanath Yeshwant Altekar,Chandrakant,Gajanan Jagirdar,0.5492957746478874
Chhaya,1961,144,"Drama, Romance",7.1,42,Hrishikesh Mukherjee,Sunil Dutt,Asha Parekh,Nirupa Roy,1.0
Chhichhore,2019,143,"Comedy, Drama",8.3,38581,Nitesh Tiwari,Sushant Singh Rajput,Shraddha Kapoor,Varun Sharma,125.26298701298701
Chhodon Naa Yaar,2007,97,"Horror, Thriller",4.6,94,Dilip Sood,Jimmy Sheirgill,Kim Sharma,Farid Amiri,0.15959252971137522
Chhota Bheem and the Curse of Damyaan,2012,88,"Animation, Adventure, Fantasy",5.7,145,Rajiv Chilaka,Jigna Bhardwaj,Chutki,Kaustav Ghosh,0.3776041666666667
